N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
Valorar el papel de la Sociología como fuente científica del conocimiento.,2 de marzo,Conceptual: ,,Primer momento:,Unidad I:,Inicial,Otras técnicas de aprendizaje,,Debate,,Investigación
,,Explicar el estudio de la sociología como ciencia ,,Exploración de conocimientos previos de la asignatura mediante un test ,I. La sociología como ciencia ,Aplicación de un test ,Fuentes científicas y no científicas del conocimiento.,30 minutos,Aplicación de test usando Google forms,"Devocional 
Diagnostico 
¿Qué entiendes por Sociología?  
¿se relaciona la Sociología con la vida del Ser humano?
Qué es una ciencia y con cuales las relacionas? 
¿En qué diferencias la sociología de las ciencias naturales, como la química o la biología?
¿Qué temas o problemas estudia la sociología?
Aplicación de test sobre evaluación diagnóstica
",se aplica en el primer momento explicación de la ciencia y sus método específicos 
,,Procedimental:,,Segundo momento:,Unidad I:,Desarrollo,Otras técnicas de aprendizaje,,Otros,,Investigación
,,Debatir diferentes acepciones y naturaleza de la Sociología empleando lectura comentada ,,Explicación de la docente sobre la unidad y contenido a abordar y orientación del trabajo,,Trabajo en grupo,"
2)La ciencia como fuente del conocimiento. 

",60 m,"conceptualizacion, ejemplos y cuadro sinóptico","Brindar documento, formar grupos de trabajo y realizar lo siguiente: 
1.	Cribe el concepto de Sociología.
2.	Describa los dos eventos históricos  que dan origen a la Sociología como ciencia 
3.	Brinde ejemplos sobre las fuentes científicas y no científicas del conocimiento
4.	En cuadro sinóptico escriba características de la clasificación de las ciencias.
5.	 Justifique la importancia de la razón y el conocimiento en la vida diaria.
",
,,Actitudinal:,,Tercer momento:,Unidad I:,,,,Investigación,,
,,Valorar el papel de la Sociología como fuente científica del conocimiento.,,orientación del trabajo independiente,,investigación,Definición etimológica de Sociológica del conocimiento  ,30,análisis de un artículo científico,La docente orienta la redacción de un escritor sobre las diferentes acepciones de la definición de la Sociología y su objeto de estudio,
TOTAL HORAS,,,,,,,,#ERROR!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
1,2 de marzo,Conceptual,,Primer momento:,Desempeño,Cuaderno del estudiante,Parcial I,40 m,Otros,Artículo científico,9 de marzo
,,Explicar el estudio de la sociología como ciencia ,,acepciones de la sociología,"Redacción, conocimiento, coherencia y orden",constatar la realización del,I CORTE 10 pts.,40 minutos,lea el documento y realice un escrito sobre diferentes acepciones de la Sociología.,artículo científico,9/03/2024
,,Procedimental,,Segundo momento:,,,,,,,
,,Debatir diferentes acepciones y naturaleza de la Sociología empleando lectura comentada ,,,,,,,,,
,,Actitudinal,,Tercer momento:,,,,,,,
,,Valorar el papel de la Sociología como fuente científica del conocimiento.,,,,,,,,,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
